GeneA	GeneB	Digene_Score
ELOC	POLR2B	0.9934
ELOC	POLR2E	0.9923
EXOC4	HACD1	0.9922
ELOC	GTF2H5	0.9915
HLA-DQA1	HLA-DRB3	0.9907
ELOC	GTF2F2	0.9901
ELOC	UBE2D2	0.99
SEPTIN2	SEPTIN7	0.9899
HLA-DQB1	HLA-DRB3	0.9897
ELOC	PSMA6	0.9894
ELL	ELOC	0.9893
DCUN1D1	ELOC	0.9891
BRCA2	SEM1	0.9888
ELOC	NELFE	0.9888
HNRNPA2B1	U2AF1L5	0.9888
SEPTIN2	SEPTIN11	0.9888
ELOC	PSMD4	0.9886
ELOC	UBE2D1	0.9885
EPOP	SKIDA1	0.9885
HLA-A	KIR2DL5A	0.9884
RPL22	RPS4Y1	0.9883
HLA-DPB1	HLA-DRB3	0.9882
RPL29	RPS4Y1	0.9882
COPS4	ELOC	0.988
ELOC	MED8	0.988
RPL10A	RPS4Y1	0.988
EIF3K	RPS4Y1	0.9878
ELOC	PSMA5	0.9878
NCBP2	RPS4Y1	0.9877
COMMD1	ELOC	0.9876
EIF3G	RPS4Y1	0.9875
RPS3A	RPS4Y1	0.9875
CUL2	ELOC	0.9874
HLA-DRA	HLA-DRB3	0.9874
POLR2A	U2AF1L5	0.9874
ELOA	ELOC	0.9873
ELOC	PSMC5	0.9873
RPS2	RPS4Y1	0.9873
CCNH	ELOC	0.9871
HLA-DPA1	HLA-DRB3	0.9871
RPL17	RPS4Y1	0.9871
EIF3F	RPS4Y1	0.987
DAZ1	DAZL	0.9869
ANAPC11	SEM1	0.9868
HLA-DRB1	HLA-DRB3	0.9867
RPS4Y1	RPSA	0.9866
SERTM1	SERTM2	0.9866
CASP7	CASP12	0.9865
ELOC	PSMB4	0.9865
ELOC	PSMD8	0.9865
RPS4Y1	RPS16	0.9865
CCDC188	SMCO2	0.9864
ELOC	POLR2C	0.9864
HLA-DQB2	HLA-DRB3	0.9864
RPL6	RPS4Y1	0.9864
ANAPC10	SEM1	0.9863
AURKA	SEM1	0.9863
ELOC	TCEA1	0.9863
