Intra.Dis	Inter.Dis	fish	chisq	p.adjust	X95CIdown	X95CIup	OR
Retb	Retb-DCM	NA	0	0	1.9886	2.1247	2.0553
Retb	Nefb-Phkt	NA	2.26657942809804e-23	1.49594242254471e-21	1.2758	1.4395	1.3548
Retb	Hemo-LQTs	NA	5.22756705992875e-135	7.99817760169099e-133	2.151	2.4667	2.3022
Retb	Hutt-Deme	NA	0	0	1.4377	1.4834	1.4604
Retb	Phkt-Alps	NA	1.60701446195844e-11	7.07086363261714e-10	1.5463	2.2435	1.8561
Retb	DCM-Mgcn	NA	2.75145101412496e-31	2.17364630115872e-29	1.8163	2.3358	2.0566
Retb	Alps-Atls	NA	2.4661123910491e-213	4.29103556042543e-211	1.8147	1.969	1.8901
Retb	LQTs-Retb	NA	0	0	1.9733	2.1041	2.0375
Retb	Mgcn-Babi	NA	7.07896430355634e-20	4.2473785821338e-18	1.6072	2.1022	1.8349
Retb	Atls-Hyte	NA	0	0	1.6222	1.6718	1.6468
Retb	Babi-Dibt	NA	0	0	2.5385	2.6833	2.6097
Retb	Deme-HeartD	NA	0	0	1.8723	1.9282	1.9002
Retb	Dibt-Hutt	NA	0	0	1.6086	1.656	1.6321
Retb	HeartD-Dibt	NA	0	0	1.9047	1.9588	1.9316
Retb	Hyte-Phkt	NA	1.49354119982326e-81	1.91173273577377e-79	1.376	1.4811	1.4275
Retb	Alps-Babi	NA	1.01980261348463e-46	1.45831773728302e-44	2.4869	3.3889	2.8957
Retb	Alps-Deme	NA	1.03594440469654e-173	2.40339101889597e-171	1.7124	1.859	1.784
Retb	Atls-HeartD	NA	0	0	1.9026	1.9592	1.9308
Retb	Atls-Hemo	NA	7.3426540715519e-275	1.9384606748897e-272	1.497	1.57	1.533
Retb	Babi-Retb	NA	0	0	2.2132	2.3872	2.2984
Retb	DCM-Hutt	NA	0	0	2.0558	2.1886	2.121
Retb	Deme-Atls	NA	0	0	1.5279	1.5758	1.5517
Retb	Deme-Phkt	NA	5.86412647004839e-38	7.27151682286e-36	1.2403	1.3407	1.2893
Retb	Dibt-Babi	NA	0	0	2.5385	2.6833	2.6097
Retb	HeartD-Mgcn	NA	1.82698572754648e-162	4.12898774425504e-160	1.5012	1.6002	1.5498
Retb	HeartD-Retb	NA	0	0	1.6487	1.6986	1.6735
Retb	Hutt-LQTs	NA	0	0	1.7072	1.808	1.7568
Retb	Hyte-Hutt	NA	0	0	1.4661	1.5114	1.4886
Retb	Hyte-Nefb	NA	4.82127240453541e-194	1.14264155987489e-191	1.2752	1.32	1.2974
Retb	LQTs-Babi	NA	3.50653301094475e-95	6.66241272079503e-93	2.3536	2.8417	2.584
Retb	Mgcn-Alps	NA	3.74811706085323e-07	1.72413384799249e-05	1.3033	1.8339	1.5418
Retb	Mgcn-Hemo	NA	9.64508193346185e-16	6.55865571475406e-14	1.3285	1.601	1.4573
Retb	Nefb-LQTs	NA	2.12561013190303e-186	4.99518380997212e-184	1.7642	1.9178	1.8391
Retb	Phkt-Dibt	NA	6.93475586836588e-136	1.49097251169866e-133	1.4316	1.5232	1.4766
Retb	Phkt-Retb	NA	8.26273469770365e-63	1.3550884904234e-60	1.3971	1.5283	1.461
Nefb	Retb-DCM	NA	0	0	2.3628	2.5548	2.4567
Nefb	Nefb-Phkt	NA	5.50069430140323e-51	5.77572901647339e-49	1.5196	1.7265	1.6193
Nefb	Hemo-LQTs	NA	5.69795018614315e-184	9.45859730899763e-182	2.5629	2.9571	2.7518
Nefb	Hutt-Deme	NA	0	0	1.701	1.7912	1.7456
Nefb	Phkt-Alps	NA	2.74086942786912e-18	1.50747818532802e-16	1.8458	2.6846	2.2184
Nefb	DCM-Mgcn	NA	2.04778314100491e-47	2.00682747818481e-45	2.1671	2.7968	2.458
Nefb	Alps-Atls	NA	1.27756534191017e-279	2.35072022911471e-277	2.1584	2.3651	2.2592
Nefb	LQTs-Retb	NA	0	0	2.3442	2.5302	2.4354
Nefb	Mgcn-Babi	NA	4.97539731926481e-32	4.0300718286045e-30	1.9178	2.5165	2.1933
Nefb	Atls-Hyte	NA	0	0	1.9188	2.0192	1.9685
Nefb	Babi-Dibt	NA	0	0	3.0132	3.229	3.1197
Nefb	Deme-HeartD	NA	0	0	2.2142	2.3293	2.2711
Nefb	Dibt-Hutt	NA	0	0	1.9021	2.0005	1.9509
