Variants	dbGene	Disease	Tissue	ExpPPoM	REZ_1-p	Ep++	Rank
Var1	TP73	AS	Heart	0.265578462	0.09208972	0.0636	106.5
Var2	TMEM53	AS	Heart	0.087766995	0.871832778	0.5994	32
Var3	PGM1	AS	Heart	0.022397268	0.999999944	0.7803	13.5
Var4	LRRC53	AS	Heart	0.105756266	1	0.7883	9
Var5	SLC44A3	AS	Heart	0.227341318	0.574416275	0.3002	62
Var6	DDX20	AS	Heart	0.022148761	0.205849235	0.0349	127
Var7	ECM1	AS	Heart	0.024451923	0.998619097	0.7776	18
Var8	TCHH	AS	Heart	0.067931342	0.33559883	0.0932	100
Var9	THBS3	AS	Heart	0.719750906	0.528249315	0.6223	30
Var10	FCRL4	AS	Heart	0.022189624	0.1645221	0.023	143
Var11	RNASEL	AS	Heart	0.557677014	0.21616178	0.2818	66
Var12	SWT1	AS	Heart	0.022118268	0.155769555	0.0206	145
Var13	CENPF	AS	Heart	0.022118268	0.1949382	0.032	131
Var14	NID1	AS	Heart	0.023600415	0.988894516	0.7622	23
Var15	SH3BP5L	AS	Heart	0.223239819	0.54550563	0.2738	67
Var16	CENPO	AS	Heart	0.022539466	0.452229565	0.1624	84
Var17	EHD3	AS	Heart	0.105453882	0.792175059	0.4994	43
Var18	TGFBRAP1	AS	Heart	0.056699497	0.47279635	0.1794	79
Var19	SCTR	AS	Heart	0.7790277	0.880641261	0.9361	3
Var20	PMS1	AS	Heart	0.022300278	0.4753932	0.1792	80
Var21	LRIG1	AS	Heart	0.025479472	0.86213684	0.5811	35
Var22	OR5H2	AS	Heart	0.022007615	0.3907759	0.1216	91
Var23	ALCAM	AS	Heart	0.133222201	0.20627472	0.049	117
Var24	ZBED2	AS	Heart	0.133862903	0.1295031	0.0286	138
Var25	ZDHHC23	AS	Heart	0.063428107	0.133923	0.0183	147
Var26	POLQ	AS	Heart	0.032735298	0.829362217	0.5387	41
Var27	BFSP2	AS	Heart	0.022118268	0.21708407	0.039	123
Var28	VEPH1	AS	Heart	0.734265394	0.11686422	0.4333	50
Var29	WDR49	AS	Heart	0.31879617	0.916997695	0.7348	26
Var30	ATP13A4	AS	Heart	0.067779627	0.11764595	0.0156	151
Var31	LSG1	AS	Heart	0.022381179	0.23137953	0.0437	121
Var32	POLN	AS	Heart	0.074979656	0.231176765	0.0478	118
Var33	ZFYVE28	AS	Heart	0.022118268	0.43882437	0.1533	85.5
Var34	PACRGL	AS	Heart	0.022300278	0.2627573	0.0563	114
Var35	SULT1E1	AS	Heart	0.689646213	0.3597387	0.4729	46
